feature_raw,feature,mean_abs_shap,normalized_shap,rank,city,seed
hour_cos,Hour (cos),39.20942434283028,1.0,1,Berlin,11
hour_sin,Hour (sin),27.873623832485535,0.7108909222632447,2,Berlin,11
temp,Temperature,25.803845367737207,0.6581031422986352,3,Berlin,11
street_enclosure_index_proxy,Street enclosure,21.324291361332495,0.5438562722799013,4,Berlin,11
is_weekend,Weekend,16.010489110073546,0.40833267456529687,5,Berlin,11
sensor_canopy_pct,Tree canopy,9.736416803138516,0.2483182797586491,6,Berlin,11
built_volume_density_200m,Built volume density,7.84270628601672,0.20002094949019097,7,Berlin,11
poi_count_300m,POI count,6.086941781749768,0.15524180433071846,8,Berlin,11
building_density_200m,Building density,5.1569179619774355,0.1315224094311503,9,Berlin,11
precip,Precipitation,3.9759239309410304,0.10140225207534974,10,Berlin,11
betweenness_centrality,Betweenness centrality,3.434672351282615,0.08759813256250136,11,Berlin,11
street_orientation_entropy,Street orientation entropy,3.2394324859259664,0.08261872088714609,12,Berlin,11
facade_continuity_proxy,Facade continuity,2.593423411155854,0.06614285862705045,13,Berlin,11
ndbi_mean_s2,NDBI mean,1.7063536759840057,0.043518967814074126,14,Berlin,11
access_to_services_index,Access to services,0.8871667981024925,0.022626366312993758,15,Berlin,11
transit_stop_distance,Transit stop distance,0.8207444814891118,0.020932326736370226,16,Berlin,11
transit_frequency_index,Transit frequency,0.8147076899407635,0.020778363967226633,17,Berlin,11
sensor_ndvi_mean,NDVI mean,0.8121913956524012,0.02071418821533696,18,Berlin,11
intersection_density_300m,Intersection density,0.5581581705228215,0.01423530643149788,19,Berlin,11
street_canyon_ratio_mean_200m,Street canyon ratio,0.4482991094949971,0.011433452977408267,20,Berlin,11
bus_stop_density_400m,Bus stop density,0.0,0.0,21,Berlin,11
hour_cos,Hour (cos),38.808247126115866,1.0,1,Berlin,22
hour_sin,Hour (sin),27.802354249495213,0.7164032469476243,2,Berlin,22
temp,Temperature,26.846999167606267,0.6917859258203826,3,Berlin,22
street_enclosure_index_proxy,Street enclosure,21.577253029902245,0.5559965890699019,4,Berlin,22
is_weekend,Weekend,16.351670534348546,0.4213452486325967,5,Berlin,22
sensor_canopy_pct,Tree canopy,9.793276911331754,0.25235040581725743,6,Berlin,22
built_volume_density_200m,Built volume density,7.832890172104786,0.20183571153446073,7,Berlin,22
poi_count_300m,POI count,5.63671465981188,0.14524527844543317,8,Berlin,22
building_density_200m,Building density,4.57834009879183,0.11797338034654116,9,Berlin,22
precip,Precipitation,3.7919797756649825,0.09771066864581945,10,Berlin,22
betweenness_centrality,Betweenness centrality,3.346831764632722,0.08624021986245506,11,Berlin,22
street_orientation_entropy,Street orientation entropy,3.227934392304092,0.08317650580337255,12,Berlin,22
facade_continuity_proxy,Facade continuity,2.043327752916165,0.05265189500252165,13,Berlin,22
ndbi_mean_s2,NDBI mean,1.514982787335273,0.03903765048733085,14,Berlin,22
intersection_density_300m,Intersection density,1.0766108184160097,0.027741804851874087,15,Berlin,22
transit_frequency_index,Transit frequency,0.9728735222865261,0.025068731373642343,16,Berlin,22
transit_stop_distance,Transit stop distance,0.7794869493158594,0.020085600536987575,17,Berlin,22
street_canyon_ratio_mean_200m,Street canyon ratio,0.7389717916179234,0.019041617345315117,18,Berlin,22
sensor_ndvi_mean,NDVI mean,0.7307852009922001,0.018830667579943876,19,Berlin,22
access_to_services_index,Access to services,0.6919283693141254,0.017829415666869807,20,Berlin,22
bus_stop_density_400m,Bus stop density,0.0,0.0,21,Berlin,22
hour_cos,Hour (cos),39.96104678593941,1.0,1,Berlin,33
hour_sin,Hour (sin),27.357833791874373,0.6846125412685743,2,Berlin,33
temp,Temperature,26.272017002770095,0.657440660739,3,Berlin,33
