feature_raw,feature,mean_abs_shap,normalized_shap,rank,city,seed
hour_cos,Hour (cos),11.98301263204298,1.0,1,Zurich,11
built_volume_density_200m,Built volume density,9.971581309577841,0.8321431025544859,2,Zurich,11
hour_sin,Hour (sin),9.125931821550303,0.7615724110268609,3,Zurich,11
facade_continuity_proxy,Facade continuity,8.565907135869018,0.7148375286664969,4,Zurich,11
transit_stop_distance,Transit stop distance,6.753157403341048,0.5635609016452906,5,Zurich,11
transit_frequency_index,Transit frequency,3.2222034540306996,0.2688976097224849,6,Zurich,11
temp,Temperature,2.8984148945713346,0.24187697898447302,7,Zurich,11
street_orientation_entropy,Street orientation entropy,2.5209148280576303,0.2103740441127984,8,Zurich,11
ndbi_mean_s2,NDBI mean,2.4030479193174203,0.20053787750265648,9,Zurich,11
building_density_200m,Building density,2.2544073624246015,0.18813360476615373,10,Zurich,11
is_weekend,Weekend,1.9535723280255157,0.16302847939937887,11,Zurich,11
betweenness_centrality,Betweenness centrality,1.9151669353199658,0.15982349298362122,12,Zurich,11
sensor_ndvi_mean,NDVI mean,1.755899118504132,0.14653235980147417,13,Zurich,11
intersection_density_300m,Intersection density,1.6064218684122449,0.13405826378890887,14,Zurich,11
bus_stop_density_400m,Bus stop density,1.303380675647777,0.10876903126701988,15,Zurich,11
precip,Precipitation,1.2862645626446205,0.10734066650360576,16,Zurich,11
sensor_canopy_pct,Tree canopy,1.2466772413946623,0.10403704641527334,17,Zurich,11
access_to_services_index,Access to services,1.1291555986520199,0.09422969275961704,18,Zurich,11
street_enclosure_index_proxy,Street enclosure,0.9081422057093587,0.07578580058248088,19,Zurich,11
street_canyon_ratio_mean_200m,Street canyon ratio,0.5261654350268351,0.04390927817432579,20,Zurich,11
poi_count_300m,POI count,0.0,0.0,21,Zurich,11
hour_cos,Hour (cos),11.51592195113607,1.0,1,Zurich,22
built_volume_density_200m,Built volume density,9.694933520459763,0.8418721107695019,2,Zurich,22
hour_sin,Hour (sin),8.939530670244755,0.7762757257453322,3,Zurich,22
transit_stop_distance,Transit stop distance,7.5767212217533695,0.6579344019439025,4,Zurich,22
