city,feature,mean_normalized_shap,sd_normalized_shap,mean_rank,min_rank,max_rank,mean_abs_shap,runs,rank_range
Berlin,Hour (cos),1.0,0.0,1.0,1,1,39.462943561269455,5,1–1
Berlin,Hour (sin),0.7078087267062887,0.015953409882474914,2.0,2,2,27.92756162422402,5,2–2
Berlin,Temperature,0.6689221529370479,0.02027041602037726,3.0,3,3,26.39153251749344,5,3–3
Berlin,Street enclosure,0.5563397878787376,0.011075071851994574,4.0,4,4,21.954667555348145,5,4–4
Berlin,Weekend,0.40912859119202627,0.010969699050722021,5.0,5,5,16.141960677573103,5,5–5
Berlin,Tree canopy,0.2415538777227116,0.023683066949822515,6.2,6,7,9.527579539047684,5,6–7
Berlin,Built volume density,0.19932041690823005,0.009863265878836439,6.8,6,7,7.866778611142204,5,6–7
Berlin,POI count,0.13876481866392623,0.011152146895516985,8.0,8,8,5.472976285122432,5,8–8
Berlin,Building density,0.1238023099435112,0.006700291079670087,9.0,9,9,4.886671136359598,5,9–9
Berlin,Precipitation,0.09716176736080705,0.003349584919971513,10.0,10,10,3.8333101551892588,5,10–10
