City,Feature,Mean normalized SHAP,SD,Mean rank,Rank range
Zurich,Hour (cos),1.0,0.0,1.0,1–1
Zurich,Built volume density,0.7840627279655614,0.06130388586553038,2.6,2–5
Zurich,Hour (sin),0.7581492160917922,0.013781933780826176,3.2,3–4
Zurich,Facade continuity,0.6785435238822586,0.10077697861868658,4.0,2–5
Zurich,Transit stop distance,0.6519769411936324,0.07830027040921334,4.2,3–5
Zurich,Temperature,0.25573621792017937,0.008473439305896753,7.0,6–8
Zurich,Transit frequency,0.2561403246881787,0.044554933499480254,7.8,6–11
Zurich,Street orientation entropy,0.2581265932065565,0.076354115337003,8.0,6–10
Zurich,NDBI mean,0.2330576072453697,0.030301827867574682,8.2,6–10
Zurich,NDVI mean,0.19841733577470572,0.03433907706258939,10.4,9–13
Berlin,Hour (cos),1.0,0.0,1.0,1–1
Berlin,Hour (sin),0.7078087267062887,0.015953409882474914,2.0,2–2
Berlin,Temperature,0.6689221529370479,0.02027041602037726,3.0,3–3
Berlin,Street enclosure,0.5563397878787376,0.011075071851994574,4.0,4–4
Berlin,Weekend,0.40912859119202627,0.010969699050722021,5.0,5–5
Berlin,Tree canopy,0.2415538777227116,0.023683066949822515,6.2,6–7
Berlin,Built volume density,0.19932041690823005,0.009863265878836439,6.8,6–7
Berlin,POI count,0.13876481866392623,0.011152146895516985,8.0,8–8
Berlin,Building density,0.1238023099435112,0.006700291079670087,9.0,9–9
Berlin,Precipitation,0.09716176736080705,0.003349584919971513,10.0,10–10
