city,feature,mean_normalized_shap,sd_normalized_shap,mean_rank,min_rank,max_rank,mean_abs_shap,runs,rank_range
Zurich,Hour (cos),1.0,0.0,1.0,1,1,11.640405906974896,5,1–1
Zurich,Built volume density,0.7840627279655614,0.06130388586553038,2.6,2,5,9.132963269000417,5,2–5
Zurich,Hour (sin),0.7581492160917922,0.013781933780826176,3.2,3,4,8.824553655982347,5,3–4
Zurich,Facade continuity,0.6785435238822586,0.10077697861868658,4.0,2,5,7.896714302161,5,2–5
Zurich,Transit stop distance,0.6519769411936324,0.07830027040921334,4.2,3,5,7.576720507355286,5,3–5
Zurich,Temperature,0.25573621792017937,0.008473439305896753,7.0,6,8,2.975635428075886,5,6–8
Zurich,Transit frequency,0.2561403246881787,0.044554933499480254,7.8,6,11,2.9852060977063024,5,6–11
Zurich,Street orientation entropy,0.2581265932065565,0.076354115337003,8.0,6,10,2.994625122079662,5,6–10
Zurich,NDBI mean,0.2330576072453697,0.030301827867574682,8.2,6,10,2.7123161484000993,5,6–10
Zurich,NDVI mean,0.19841733577470572,0.03433907706258939,10.4,9,13,2.3069004861327236,5,9–13
