feature,mean_abs_shap
hour_cos,39.77336655759869
hour_sin,27.131193271730574
temp,25.569453884272367
street_enclosure_index_proxy,23.680066905625537
is_weekend,15.805524686937643
built_volume_density_200m,8.822574154150473
sensor_canopy_pct,6.706584485277416
poi_count_300m,6.351866236934881
building_density_200m,4.9175567907239
precip,3.5337425094996426
street_orientation_entropy,2.561146580079324
betweenness_centrality,2.454297538085363
ndbi_mean_s2,2.198974482859498
facade_continuity_proxy,1.5760970756041883
sensor_ndvi_mean,0.9999875058337969
access_to_services_index,0.9650069916488214
transit_frequency_index,0.9144142588979854
transit_stop_distance,0.8838453701656726
street_canyon_ratio_mean_200m,0.7331668647519253
intersection_density_300m,0.6229712083525278
bus_stop_density_400m,0.0
