feature,mean_abs_shap
hour_cos,11.358079444026066
facade_continuity_proxy,9.143705566756937
hour_sin,8.671057471856447
built_volume_density_200m,8.056171900252243
transit_stop_distance,6.653721880770302
temp,3.0321923107450117
transit_frequency_index,2.712846085174225
ndbi_mean_s2,2.646095910751402
street_orientation_entropy,2.554157544192203
betweenness_centrality,2.304188533041451
sensor_ndvi_mean,2.1992271448922724
intersection_density_300m,2.0909529182294144
building_density_200m,1.9967979601188421
is_weekend,1.8601994278045526
access_to_services_index,1.6434691029078503
precip,1.346578636336277
bus_stop_density_400m,1.1314023243102642
street_enclosure_index_proxy,1.002132316797181
sensor_canopy_pct,0.8838160490256528
street_canyon_ratio_mean_200m,0.5679183590595891
poi_count_300m,0.0
